,H2,CH4,C2H4,C2H2,C2H6,CO,CO2,O2,N2,TOTALHYDROCARBON
177,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
178,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
179,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
180,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
181,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
182,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
183,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
184,1.241,0.763,0.0,0.0,0.0,3.643,67.916,,,0.763
185,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
186,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
187,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
188,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
189,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
190,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
191,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
192,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
193,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
194,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
195,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
196,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
197,1.22,0.714,0.0,0.0,0.0,3.592,63.689,,,0.714
198,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
199,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
200,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
201,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
202,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
203,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
204,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
205,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
206,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
207,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
208,1.213,0.756,0.0,0.0,0.0,3.538,68.118,,,0.756
209,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
210,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
211,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
212,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
213,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
214,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
215,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
216,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
217,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
218,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
219,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
220,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
221,1.201,0.723,0.0,0.0,0.0,3.502,68.213,,,0.723
222,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
223,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
224,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
225,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
226,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
227,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
228,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
229,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
230,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
231,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
232,1.189,0.764,0.0,0.0,0.0,3.482,63.831,,,0.764
233,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
234,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
235,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
236,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
237,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
238,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
239,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
240,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
241,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
242,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
243,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
244,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
245,1.172,0.765,0.0,0.0,0.0,3.643,63.87,,,0.765
246,1.161,0.772,0.0,0.0,0.0,3.476,64.639,,,0.772
247,1.161,0.772,0.0,0.0,0.0,3.476,64.639,,,0.772
248,1.161,0.772,0.0,0.0,0.0,3.476,64.639,,,0.772
249,1.161,0.772,0.0,0.0,0.0,3.476,64.639,,,0.772
250,1.161,0.772,0.0,0.0,0.0,3.476,64.639,,,0.772
251,1.161,0.772,0.0,0.0,0.0,3.476,64.639,,,0.772
252,1.161,0.772,0.0,0.0,0.0,3.476,64.639,,,0.772
253,1.139,0.807,0.0,0.0,0.0,3.482,62.352,,,0.807
254,1.139,0.807,0.0,0.0,0.0,3.482,62.352,,,0.807
255,1.139,0.807,0.0,0.0,0.0,3.482,62.352,,,0.807
256,1.139,0.807,0.0,0.0,0.0,3.482,62.352,,,0.807
257,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
258,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
259,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
260,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
261,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
262,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
263,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
264,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
265,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
266,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
267,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
268,1.124,0.815,0.0,0.0,0.0,3.482,60.988,,,0.815
269,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
270,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
271,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
272,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
273,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
274,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
275,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
276,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
277,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
278,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
279,1.113,0.824,0.0,0.0,0.0,3.659,61.145,,,0.824
280,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
281,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
282,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
283,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
284,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
285,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
286,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
287,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
288,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
289,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
290,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
291,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
292,1.102,0.828,0.0,0.0,0.0,3.486,60.185,,,0.828
293,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
294,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
295,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
296,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
297,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
298,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
299,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
300,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
301,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
302,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
303,1.091,0.854,0.0,0.0,0.0,3.487,63.049,,,0.854
304,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
305,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
306,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
307,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
308,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
309,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
310,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
311,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
312,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
313,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
314,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
315,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
316,1.078,0.804,0.0,0.0,0.0,3.487,60.141,,,0.804
317,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
318,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
319,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
320,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
321,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
322,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
323,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
324,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
325,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
326,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
327,1.067,0.859,0.0,0.0,0.0,3.404,59.353,,,0.859
328,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
329,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
330,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
331,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
332,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
333,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
334,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
335,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
336,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
337,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
338,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
339,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
340,1.056,0.861,0.0,0.0,0.0,3.35,63.402,,,0.861
341,1.045,0.862,0.0,0.0,0.0,3.333,59.398,,,0.862
342,1.045,0.862,0.0,0.0,0.0,3.333,59.398,,,0.862
343,1.045,0.862,0.0,0.0,0.0,3.333,59.398,,,0.862
344,1.045,0.862,0.0,0.0,0.0,3.333,59.398,,,0.862
345,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
346,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
347,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
348,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
349,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
350,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
351,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
352,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
353,1.008,0.82,0.0,0.0,0.0,3.223,60.662,,,0.82
354,1.007,0.851,0.0,0.0,0.0,3.203,60.669,,,0.851
355,1.007,0.851,0.0,0.0,0.0,3.203,60.669,,,0.851
356,1.007,0.851,0.0,0.0,0.0,3.203,60.669,,,0.851
357,1.007,0.851,0.0,0.0,0.0,3.203,60.669,,,0.851
358,1.007,0.851,0.0,0.0,0.0,3.203,60.669,,,0.851
359,1.007,0.851,0.0,0.0,0.0,3.203,60.669,,,0.851
360,1.007,0.851,0.0,0.0,0.0,3.203,60.669,,,0.851
